Rank;Track;Artist;Streams;Date
88;nana triste;by Natalia Lacunza, Guitarricadelafuente;64455;8/1/19
89;Celébrate;by Miki Núñez;64280;8/1/19
90;Sucker;by Jonas Brothers;64018;8/1/19
91;Un Año;by Sebastian Yatra, Reik;63723;8/1/19
92;En Cero;by Yandel, Sebastian Yatra, Manuel Turizo;62918;8/1/19
93;Muito Calor;by Ozuna, Anitta;61874;8/1/19
94;Aullando;by Wisin & Yandel, Romeo Santos;61378;8/1/19
95;Instagram;by Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike;60170;8/1/19
96;Shallow;by Lady Gaga, Bradley Cooper;59175;8/1/19
97;Beautiful People (feat. Khalid);by Ed Sheeran;58234;8/1/19
98;Latina (feat. Maluma);by Reykon;57995;8/1/19
99;Sobrenatural;by Juan Magán, Alvaro Soler, Marielle Hazlo;57267;8/1/19
100;Con La Miel En Los Labios;by Aitana;57158;8/1/19
101;Ella Quiere Beber - Remix;by Anuel AA, Romeo Santos;56354;8/1/19
102;Serpiente Veneno (feat. Ele A El Dominio);by Kidd Keo;54921;8/1/19
103;Te Olvidaré;by MYA, Pedro Capó;54649;8/1/19
104;Qué Bonito Es Querer;by Manuel Carrasco;54404;8/1/19
105;Una Vida Para Recordar;by Piso 21, Myke Towers;54127;8/1/19
106;MALAMENTE - Cap.1: Augurio;by ROSALÍA;53430;8/1/19
107;Mona Lisa;by Nacho, Nicky Jam;52541;8/1/19
108;Someone You Loved;by Lewis Capaldi;51347;8/1/19
109;Vas A Quedarte;by Aitana;50307;8/1/19
110;Mujer Bruja;by Lola Indigo, Mala Rodríguez;50306;8/1/19
111;Te echo de menos;by Beret;50028;8/1/19
112;Por Eso Vine;by Paulo Londra;49998;8/1/19
113;Cuando Nadie Ve;by Morat;49314;8/1/19
114;Vaina Loca;by Ozuna, Manuel Turizo;49165;8/1/19
115;Pa ti pa mí na má;by Demarco Flamenco;48197;8/1/19
116;Déjala Que Baile (with Alejandro Sanz & Arkano);by Melendi;47990;8/1/19
117;Otra Vez;by Justin Quiles;47246;8/1/19
118;Llégale;by Lunay, Zion & Lennox;46954;8/1/19
119;Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky);by Dvicio, Jesús Reik;46926;8/1/19
120;Imposible;by Luis Fonsi, Ozuna;46814;8/1/19
121;Cristina;by Sebastian Yatra;46800;8/1/19
122;La Libertad;by Alvaro Soler;46666;8/1/19
123;Soldadito marinero;by Fito y Fitipaldis;46499;8/1/19
124;Te esperaré toda la vida;by Dani Fernández;46435;8/1/19
125;Sin Pijama;by Becky G, Natti Natasha;46320;8/1/19
126;Fuego;by Estopa;46288;8/1/19
127;Princesas;by Pereza;45974;8/1/19
128;Ya No Quiero Ná;by Lola Indigo;45779;8/1/19
129;How Do You Sleep?;by Sam Smith;45695;8/1/19
130;No Te Preocupes por Mi;by Leiva;45658;8/1/19
131;Besos En Guerra;by Morat, Juanes;45545;8/1/19
132;Desconocidos;by Mau y Ricky, Manuel Turizo, Camilo;44758;8/1/19
133;Lo siento;by Beret;44415;8/1/19
134;Guantanamera;by Guitarricadelafuente;43937;8/1/19
135;Destino;by Greeicy, Nacho;43825;8/1/19
136;Don't Call Me Up;by Mabel;43679;8/1/19
137;Goodbyes (Feat. Young Thug);by Post Malone;42975;8/1/19
138;Ganas Sobran;by Bryant Myers, Miky Woodz, Justin Quiles;42645;8/1/19
139;La Boca;by Mau y Ricky, Camilo;42362;8/1/19
140;7 rings;by Ariana Grande;42229;8/1/19
141;Soltera;by Lunay, Chris Jedi, Gaby Music;41905;8/1/19
142;R.I.P. (feat. Rita Ora & Anitta);by Sofía Reyes;41713;8/1/19
143;Tan Buena;by Gente De Zona, Mau y Ricky;41456;8/1/19
144;Perdón;by David Bisbal, Greeicy;41324;8/1/19
145;No Lo Trates;by Pitbull, Daddy Yankee, Natti Natasha;41291;8/1/19
146;Bohemian Rhapsody - Remastered 2011;by Queen;41067;8/1/19
147;Como Tu;by Bandaga;41026;8/1/19
148;TELÉFONO;by Aitana;40963;8/1/19
149;MIA (feat. Drake);by Bad Bunny;40827;8/1/19
150;Never Really Over;by Katy Perry;40738;8/1/19
151;Disparos;by Dani Fernández;40284;8/1/19
152;Trueno: Bzrp Freestyle Sessions, Vol. 6;by Bizarrap, Trueno;39805;8/1/19
153;Brasilera;by Dvicio;39788;8/1/19
154;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);by DJ Snake;39615;8/1/19
155;Soldi;by Mahmood;39609;8/1/19
156;A Partir De Hoy;by David Bisbal, Sebastian Yatra;39373;8/1/19
157;Adictiva;by Daddy Yankee, Anuel AA;39225;8/1/19
158;COMO UN BEBÉ;by J Balvin, Bad Bunny, Mr Eazi;38659;8/1/19
159;Como Camarón;by Estopa;38645;8/1/19
