Rank;Track;Artist;Streams;Date
141;Bohemian Rhapsody - Remastered 2011;by Queen;38418;8/7/19
142;Usted;by Juan Magán, Mala Rodríguez;37990;8/7/19
143;Mírame - Remix;by Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell;37911;8/7/19
144;Mona Lisa;by Nacho, Nicky Jam;37822;8/7/19
145;Llégale;by Lunay, Zion & Lennox;37783;8/7/19
146;MIA (feat. Drake);by Bad Bunny;37612;8/7/19
147;Piece Of Your Heart;by MEDUZA, Goodboys;37584;8/7/19
148;Soldi;by Mahmood;37481;8/7/19
149;Ransom;by Lil Tecca;37417;8/7/19
150;Sirenas;by Taburete;37247;8/7/19
151;TELÉFONO;by Aitana;37195;8/7/19
152;Te Olvidaré;by MYA, Pedro Capó;37022;8/7/19
153;Mejor No Nos Vemos;by Rels B;36745;8/7/19
154;Como Camarón;by Estopa;36506;8/7/19
155;Goodbyes (Feat. Young Thug);by Post Malone;36442;8/7/19
156;Sweet but Psycho;by Ava Max;36153;8/7/19
157;Destino;by Greeicy, Nacho;36130;8/7/19
158;7 rings;by Ariana Grande;36098;8/7/19
159;Mi Religión;by Nil Moliner;36086;8/7/19
160;Me Vuelvo Loco;by Abraham Mateo, CNCO;36008;8/7/19
161;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);by DJ Snake;35986;8/7/19
162;Guantanamera;by Guitarricadelafuente;35544;8/7/19
163;Te Vi;by Piso 21, Micro TDH;35296;8/7/19
164;Bandolera;by Bryant Myers, Alex Rose;35098;8/7/19
165;La Libertad;by Alvaro Soler;35092;8/7/19
166;Adictiva;by Daddy Yankee, Anuel AA;34883;8/7/19
167;R.I.P. (feat. Rita Ora & Anitta);by Sofía Reyes;34857;8/7/19
168;Hasta Abajo;by Kevin Roldan, Bryant Myers, Lyanno;34603;8/7/19
169;Desconocidos;by Mau y Ricky, Manuel Turizo, Camilo;34603;8/7/19
170;Cuando zarpa el amor (feat. Juan Magán);by Camela;34450;8/7/19
171;Esclavo de Tus Besos;by Manuel Turizo, Ozuna;34441;8/7/19
172;Me Rehúso;by Danny Ocean;34218;8/7/19
173;Como Si Fueras a Morir Mañana;by Leiva;34089;8/7/19
174;Otra Copa;by Bandaga;34000;8/7/19
175;Never Really Over;by Katy Perry;33968;8/7/19
176;La Cintura;by Alvaro Soler;33922;8/7/19
177;Cicatrices;by Natos y Waor;33745;8/7/19
178;Vuela;by Bombai;33647;8/7/19
179;Como el Agua;by Omar Montes;33487;8/7/19
180;Tenamoras;by DELLAFUENTE, Mala Rodríguez;33294;8/7/19
181;La Boca;by Mau y Ricky, Camilo;33280;8/7/19
182;High Hopes;by Panic! At The Disco;33223;8/7/19
183;No te enamores;by Efecto Pasillo;32970;8/7/19
184;Ta To Gucci (Remix);by Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone;32964;8/7/19
185;Antes de Morirme (feat. Rosalía);by C. Tangana, ROSALÍA;32829;8/7/19
186;It's You;by Ali Gatie;32669;8/7/19
187;Happier;by Marshmello, Bastille;32624;8/7/19
188;Say My Name;by David Guetta, Bebe Rexha, J Balvin;32597;8/7/19
189;No Lo Trates;by Pitbull, Daddy Yankee, Natti Natasha;32596;8/7/19
190;Déjame Ser;by Manuel Carrasco;32456;8/7/19
191;Soltera;by Lunay, Chris Jedi, Gaby Music;32387;8/7/19
192;Échame La Culpa;by Luis Fonsi, Demi Lovato;32314;8/7/19
193;Ni La Hora;by Ana Guerra, Juan Magán;32049;8/7/19
194;Dancing With A Stranger (with Normani);by Sam Smith;32038;8/7/19
195;Lalala;by Y2K, bbno$;31940;8/7/19
196;Booty;by C. Tangana, Becky G;31733;8/7/19
197;Pa' Llamar Tu Atención (feat. MC Bin Laden);by C. Tangana;31502;8/7/19
198;La Plata (feat. Lalo Ebratt);by Juanes;30772;8/7/19
199;Por la boca vive el pez;by Fito y Fitipaldis;30743;8/7/19
200;Quedará En Nuestra Mente;by Amaia;30735;8/7/19
1;China;by Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;634876;8/8/19
2;Otro Trago - Remix;by Sech, Ozuna, Anuel AA, Darell, Nicky Jam;406739;8/8/19
3;Callaita;by Bad Bunny, Tainy;332168;8/8/19
4;Lola Bunny;by Lola Indigo, Don Patricio;291145;8/8/19
5;Señorita;by Shawn Mendes, Camila Cabello;274708;8/8/19
6;No Me Conoce - Remix;by Jhay Cortez, J Balvin, Bad Bunny;271350;8/8/19
7;LA CANCIÓN;by J Balvin, Bad Bunny;264453;8/8/19
8;Soltera - Remix;by Lunay, Daddy Yankee, Bad Bunny;261874;8/8/19
9;Mirándote;by Rvfv;252383;8/8/19
10;QUE PRETENDES;by J Balvin, Bad Bunny;243710;8/8/19
11;Loco Contigo (feat. J. Balvin & Tyga);by DJ Snake, J Balvin;233912;8/8/19
12;La Rubia - Remix 2;by La Nueva Escuela, Omar Montes;230865;8/8/19
13;Diavla;by Chris Viz, Young Vene;224777;8/8/19
14;Baila Conmigo (feat. Kelly Ruiz);by Dayvi, Victor Cardenas, Kelly Ruíz;214832;8/8/19
15;Contando Lunares (feat. Cruz Cafuné);by Don Patricio;213577;8/8/19
16;11:00 PM;by Maluma;192797;8/8/19
17;Cristina (feat. Shelow Shaq);by Maffio, Justin Quiles, Nacho;184293;8/8/19
18;Velitas;by Darell, Brytiago;183135;8/8/19
19;Con Altura;by ROSALÍA, J Balvin, El Guincho;171635;8/8/19
20;Inocente;by Myke Towers;167262;8/8/19
21;Verte Ir;by DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago;166391;8/8/19
22;Milionària;by ROSALÍA;165311;8/8/19
23;Bésame;by David Bisbal, Juan Magán;160435;8/8/19
24;Con Calma;by Daddy Yankee, Snow;159688;8/8/19
25;Te Soñé De Nuevo;by Ozuna;159243;8/8/19
26;Calma - Remix;by Pedro Capó, Farruko;151632;8/8/19
27;Cuaderno;by Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön;151524;8/8/19
28;Hola Señorita;by GIMS, Maluma;150363;8/8/19
29;Rebota - Remix;by Guaynaa, Nicky Jam, Farruko, Becky G, Sech;150291;8/8/19
30;Si Se Da - Remix;by Myke Towers, Farruko, Arcangel, Sech, Zion;148086;8/8/19
31;DOLLAR;by Becky G, Myke Towers;145791;8/8/19
32;Pa Mí - Remix;by Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez;144375;8/8/19
33;Soldi (feat. Maikel Delacalle);by Mahmood;141529;8/8/19
34;Contra La Pared;by Sean Paul, J Balvin;140762;8/8/19
35;Te Robaré;by Nicky Jam, Ozuna;140152;8/8/19
36;Cicatrices (feat. Indara);by Sergio Contreras;139980;8/8/19
37;Gan-Ga;by Bryant Myers;138476;8/8/19
38;Mi Morena;by Juanfran;137196;8/8/19
39;Santa María (Feat. Busy Signal);by Bad Gyal;135298;8/8/19
40;Me Quedo;by Aitana, Lola Indigo;134977;8/8/19
41;¿CÓMO TE VA, QUERIDA?;by Rels B, Don Patricio;132876;8/8/19
42;Ellos;by Ceky Viciny;132086;8/8/19
43;Tal Vez;by Paulo Londra;131945;8/8/19
44;No Te Veo - Remix;by Casper Magico, Anuel AA;129633;8/8/19
45;Runaway;by Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers;129375;8/8/19
46;I Don't Care (with Justin Bieber);by Ed Sheeran;124934;8/8/19
47;Swing;by Danny Ocean;121844;8/8/19
48;Otro Trago;by Sech, Darell;117343;8/8/19
49;Enchochado de Ti;by Don Patricio;116558;8/8/19
50;HP;by Maluma;114358;8/8/19
51;Déjate Querer;by Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds;109985;8/8/19
52;Indios y Vaqueros;by Sinsinati, Álvaro De Luna;108391;8/8/19
53;La Playa;by Myke Towers;104904;8/8/19
54;MOJAITA;by J Balvin, Bad Bunny;103392;8/8/19
55;Que Mas Pues - Remix;by Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez;101815;8/8/19
56;Si Se Da;by Myke Towers, Farruko;93304;8/8/19
57;Delincuente;by Farruko, Anuel AA, Kendo Kaponi;92862;8/8/19
58;Presiento;by Morat, Aitana;88974;8/8/19
59;Date La Vuelta;by Luis Fonsi, Sebastian Yatra, Nicky Jam;86186;8/8/19
60;Goteo;by Duki;84174;8/8/19
61;Cambio;by Ozuna, Anuel AA;82845;8/8/19
62;Tú No Amas;by Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel;82141;8/8/19
63;bad guy;by Billie Eilish;81550;8/8/19
64;Hookah;by Bad Gyal;80415;8/8/19
65;De Tranquilote;by Danny Romero, Lérica;80409;8/8/19
66;Bellacoso;by Residente, Bad Bunny;77082;8/8/19
67;Si Supieras;by Daddy Yankee, Wisin & Yandel;77027;8/8/19
68;Atrévete;by Nicky Jam, Sech;74020;8/8/19
69;5 Sentidos;by Dvicio, Taburete;71808;8/8/19
70;Boomerang;by Sech;70276;8/8/19
71;Soldadito de Hierro;by Nil Moliner;70246;8/8/19
72;Baila Baila Baila - Remix;by Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA;68369;8/8/19
73;Amanece;by Anuel AA, Haze;67801;8/8/19
74;El Efecto;by Rauw Alejandro, Chencho Corleone;66766;8/8/19
75;La Boca - Remix;by Mau y Ricky, Camilo, Lunay;65603;8/8/19
76;La Respuesta;by Becky G, Maluma;65399;8/8/19
77;Aleluya;by Reik, Manuel Turizo;65383;8/8/19
78;Baila Baila Baila;by Ozuna;65236;8/8/19
79;Cúrame (feat. Manuel Turizo);by Prince Royce;64781;8/8/19
80;Punto G;by KAROL G;64408;8/8/19
81;Adan y Eva;by Paulo Londra;62323;8/8/19
82;Maldición;by Lola Indigo, Lalo Ebratt;62136;8/8/19
83;Ocean;by KAROL G;61794;8/8/19
84;Me llama;by Beret;61569;8/8/19
85;Qué Bonito Es Querer;by Manuel Carrasco;61075;8/8/19
86;Un Año;by Sebastian Yatra, Reik;60738;8/8/19
87;Nada Sale Mal;by Aitana;60648;8/8/19
88;Mi Persona Favorita;by Alejandro Sanz, Camila Cabello;58761;8/8/19
89;Old Town Road - Remix;by Lil Nas X, Billy Ray Cyrus;58050;8/8/19
90;A Escondidas;by $kyhook, Morad;57844;8/8/19
91;Celébrate;by Miki Núñez;57651;8/8/19
92;Secreto;by Anuel AA, KAROL G;57548;8/8/19
93;Amor Genuino;by Ozuna;57334;8/8/19
94;Shallow;by Lady Gaga, Bradley Cooper;56085;8/8/19
95;Sucker;by Jonas Brothers;56001;8/8/19
96;nana triste;by Natalia Lacunza, Guitarricadelafuente;55783;8/8/19
97;Aute Cuture;by ROSALÍA;54663;8/8/19
98;Ella Quiere Beber - Remix;by Anuel AA, Romeo Santos;54644;8/8/19
99;En Cero;by Yandel, Sebastian Yatra, Manuel Turizo;51525;8/8/19
100;Latina (feat. Maluma);by Reykon;51470;8/8/19
101;Una Vida Para Recordar;by Piso 21, Myke Towers;51373;8/8/19
102;Someone You Loved;by Lewis Capaldi;51215;8/8/19
103;Aullando;by Wisin & Yandel, Romeo Santos;51208;8/8/19
104;Con La Miel En Los Labios;by Aitana;51140;8/8/19
105;Instagram;by Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike;51039;8/8/19
106;Muito Calor;by Ozuna, Anitta;50197;8/8/19
107;MALAMENTE - Cap.1: Augurio;by ROSALÍA;49880;8/8/19
108;Serpiente Veneno (feat. Ele A El Dominio);by Kidd Keo;49430;8/8/19
109;Sobrenatural;by Juan Magán, Alvaro Soler, Marielle Hazlo;48635;8/8/19
110;Vas A Quedarte;by Aitana;47875;8/8/19
111;Vaina Loca;by Ozuna, Manuel Turizo;47440;8/8/19
112;Beautiful People (feat. Khalid);by Ed Sheeran;47406;8/8/19
113;boyfriend (with Social House);by Ariana Grande;47273;8/8/19
114;Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky);by Dvicio, Jesús Reik;47216;8/8/19
115;Déjala Que Baile (with Alejandro Sanz & Arkano);by Melendi;46944;8/8/19
116;Cuando Nadie Ve;by Morat;46684;8/8/19
117;Te echo de menos;by Beret;46505;8/8/19
118;Pa ti pa mí na má;by Demarco Flamenco;46422;8/8/19
119;Sin Pijama;by Becky G, Natti Natasha;45847;8/8/19
120;No Te Preocupes por Mi;by Leiva;45610;8/8/19
121;Por Eso Vine;by Paulo Londra;45557;8/8/19
122;Mujer Bruja;by Lola Indigo, Mala Rodríguez;45484;8/8/19
123;Soldadito marinero;by Fito y Fitipaldis;45102;8/8/19
124;Trueno: Bzrp Freestyle Sessions, Vol. 6;by Bizarrap, Trueno;44485;8/8/19
125;Mona Lisa;by Nacho, Nicky Jam;44184;8/8/19
126;Don't Call Me Up;by Mabel;44165;8/8/19
127;Te esperaré toda la vida;by Dani Fernández;43622;8/8/19
128;Fuego;by Estopa;43550;8/8/19
129;Imposible;by Luis Fonsi, Ozuna;43199;8/8/19
130;Cristina;by Sebastian Yatra;42949;8/8/19
131;Lo siento;by Beret;42903;8/8/19
132;Llégale;by Lunay, Zion & Lennox;42820;8/8/19
133;Como Tu;by Bandaga;42795;8/8/19
134;Ya No Quiero Ná;by Lola Indigo;42741;8/8/19
135;Perdón;by David Bisbal, Greeicy;42737;8/8/19
136;Princesas;by Pereza;42666;8/8/19
137;Besos En Guerra;by Morat, Juanes;42574;8/8/19
138;Otra Vez;by Justin Quiles;40891;8/8/19
139;How Do You Sleep?;by Sam Smith;40293;8/8/19
140;Ganas Sobran;by Bryant Myers, Miky Woodz, Justin Quiles;40015;8/8/19
141;Mírame - Remix;by Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell;39869;8/8/19
142;Te Olvidaré;by MYA, Pedro Capó;39362;8/8/19
143;Bohemian Rhapsody - Remastered 2011;by Queen;39295;8/8/19
144;A Partir De Hoy;by David Bisbal, Sebastian Yatra;39154;8/8/19
145;MIA (feat. Drake);by Bad Bunny;38830;8/8/19
146;Ransom;by Lil Tecca;38752;8/8/19
147;Usted;by Juan Magán, Mala Rodríguez;38166;8/8/19
148;Como Camarón;by Estopa;38148;8/8/19
149;Piece Of Your Heart;by MEDUZA, Goodboys;38074;8/8/19
150;Sirenas;by Taburete;37965;8/8/19
151;7 rings;by Ariana Grande;37783;8/8/19
152;TELÉFONO;by Aitana;37765;8/8/19
153;Disparos;by Dani Fernández;37667;8/8/19
154;Destino;by Greeicy, Nacho;37626;8/8/19
155;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);by DJ Snake;37590;8/8/19
156;Soldi;by Mahmood;37247;8/8/19
157;Adictiva;by Daddy Yankee, Anuel AA;36950;8/8/19
158;Cuando zarpa el amor (feat. Juan Magán);by Camela;36899;8/8/19
159;Me Vuelvo Loco;by Abraham Mateo, CNCO;36742;8/8/19
160;Me Rehúso;by Danny Ocean;36691;8/8/19
161;Desconocidos;by Mau y Ricky, Manuel Turizo, Camilo;36646;8/8/19
162;Mejor No Nos Vemos;by Rels B;36612;8/8/19
163;Goodbyes (Feat. Young Thug);by Post Malone;36303;8/8/19
164;Brasilera;by Dvicio;35909;8/8/19
165;Bandolera;by Bryant Myers, Alex Rose;35841;8/8/19
166;Sweet but Psycho;by Ava Max;35685;8/8/19
167;Hasta Abajo;by Kevin Roldan, Bryant Myers, Lyanno;35589;8/8/19
168;Te Vi;by Piso 21, Micro TDH;35550;8/8/19
169;Esclavo de Tus Besos;by Manuel Turizo, Ozuna;35427;8/8/19
170;La Libertad;by Alvaro Soler;35226;8/8/19
171;La Boca;by Mau y Ricky, Camilo;35157;8/8/19
172;R.I.P. (feat. Rita Ora & Anitta);by Sofía Reyes;35036;8/8/19
173;Say My Name;by David Guetta, Bebe Rexha, J Balvin;34893;8/8/19
174;Otra Copa;by Bandaga;34853;8/8/19
175;Dancing With A Stranger (with Normani);by Sam Smith;34697;8/8/19
176;Guayo;by Zion & Lennox, Anuel AA, Haze;34193;8/8/19
177;Guantanamera;by Guitarricadelafuente;34190;8/8/19
178;La Cintura;by Alvaro Soler;34104;8/8/19
179;Mi Religión;by Nil Moliner;34043;8/8/19
180;Never Really Over;by Katy Perry;33955;8/8/19
181;Ta To Gucci (Remix);by Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone;33514;8/8/19
182;No Lo Trates;by Pitbull, Daddy Yankee, Natti Natasha;33513;8/8/19
183;Como el Agua;by Omar Montes;33285;8/8/19
184;Happier;by Marshmello, Bastille;33175;8/8/19
185;Cicatrices;by Natos y Waor;33118;8/8/19
186;Vuela;by Bombai;33106;8/8/19
187;Déjame Ser;by Manuel Carrasco;33075;8/8/19
188;Como Si Fueras a Morir Mañana;by Leiva;33034;8/8/19
189;Ni La Hora;by Ana Guerra, Juan Magán;33007;8/8/19
190;High Hopes;by Panic! At The Disco;32918;8/8/19
191;Soltera;by Lunay, Chris Jedi, Gaby Music;32841;8/8/19
192;La Plata (feat. Lalo Ebratt);by Juanes;32688;8/8/19
193;Échame La Culpa;by Luis Fonsi, Demi Lovato;32606;8/8/19
194;Antes de Morirme (feat. Rosalía);by C. Tangana, ROSALÍA;32510;8/8/19
195;Booty;by C. Tangana, Becky G;32480;8/8/19
196;No te enamores;by Efecto Pasillo;32454;8/8/19
197;Lalala;by Y2K, bbno$;32334;8/8/19
198;It's You;by Ali Gatie;32171;8/8/19
199;Kemba Walker;by Eladio Carrion, Bad Bunny;31935;8/8/19
200;Easy;by Jhay Cortez;31901;8/8/19
1;China;by Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;668063;8/9/19
2;Otro Trago - Remix;by Sech, Ozuna, Anuel AA, Darell, Nicky Jam;421334;8/9/19
3;Callaita;by Bad Bunny, Tainy;355234;8/9/19
4;Lola Bunny;by Lola Indigo, Don Patricio;298666;8/9/19
5;Señorita;by Shawn Mendes, Camila Cabello;283754;8/9/19
6;No Me Conoce - Remix;by Jhay Cortez, J Balvin, Bad Bunny;280778;8/9/19
7;Soltera - Remix;by Lunay, Daddy Yankee, Bad Bunny;280376;8/9/19
8;LA CANCIÓN;by J Balvin, Bad Bunny;278666;8/9/19
9;Mirándote;by Rvfv;259422;8/9/19
10;QUE PRETENDES;by J Balvin, Bad Bunny;255844;8/9/19
11;Loco Contigo (feat. J. Balvin & Tyga);by DJ Snake, J Balvin;246523;8/9/19
12;Diavla;by Chris Viz, Young Vene;237842;8/9/19
13;La Rubia - Remix 2;by La Nueva Escuela, Omar Montes;236191;8/9/19
14;Baila Conmigo (feat. Kelly Ruiz);by Dayvi, Victor Cardenas, Kelly Ruíz;234671;8/9/19
15;Contando Lunares (feat. Cruz Cafuné);by Don Patricio;225983;8/9/19
16;11:00 PM;by Maluma;202516;8/9/19
17;Cristina (feat. Shelow Shaq);by Maffio, Justin Quiles, Nacho;195057;8/9/19
18;Velitas;by Darell, Brytiago;187914;8/9/19
19;Con Altura;by ROSALÍA, J Balvin, El Guincho;181971;8/9/19
20;Milionària;by ROSALÍA;175191;8/9/19
21;Verte Ir;by DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago;174346;8/9/19
22;Bésame;by David Bisbal, Juan Magán;172126;8/9/19
23;Si Se Da - Remix;by Myke Towers, Farruko, Arcangel, Sech, Zion;170130;8/9/19
24;Inocente;by Myke Towers;169711;8/9/19
25;Te Soñé De Nuevo;by Ozuna;167219;8/9/19
26;Con Calma;by Daddy Yankee, Snow;167183;8/9/19
27;Calma - Remix;by Pedro Capó, Farruko;166243;8/9/19
28;Rebota - Remix;by Guaynaa, Nicky Jam, Farruko, Becky G, Sech;160466;8/9/19
29;DOLLAR;by Becky G, Myke Towers;156933;8/9/19
30;Hola Señorita;by GIMS, Maluma;155968;8/9/19
31;Cuaderno;by Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön;154560;8/9/19
32;Gan-Ga;by Bryant Myers;144373;8/9/19
33;Soldi (feat. Maikel Delacalle);by Mahmood;143405;8/9/19
34;Contra La Pared;by Sean Paul, J Balvin;143280;8/9/19
35;Te Robaré;by Nicky Jam, Ozuna;142022;8/9/19
36;Pa Mí - Remix;by Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez;141774;8/9/19
37;Santa María (Feat. Busy Signal);by Bad Gyal;140806;8/9/19
38;Cicatrices (feat. Indara);by Sergio Contreras;140595;8/9/19
39;Tal Vez;by Paulo Londra;140272;8/9/19
40;Me Quedo;by Aitana, Lola Indigo;137817;8/9/19
41;Mi Morena;by Juanfran;136932;8/9/19
42;Runaway;by Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers;136503;8/9/19
43;¿CÓMO TE VA, QUERIDA?;by Rels B, Don Patricio;136090;8/9/19
44;Ellos;by Ceky Viciny;134504;8/9/19
45;No Te Veo - Remix;by Casper Magico, Anuel AA;133389;8/9/19
46;Swing;by Danny Ocean;127437;8/9/19
47;I Don't Care (with Justin Bieber);by Ed Sheeran;124990;8/9/19
48;HP;by Maluma;123041;8/9/19
49;Otro Trago;by Sech, Darell;119814;8/9/19
50;Enchochado de Ti;by Don Patricio;119554;8/9/19
51;Goteo;by Duki;114951;8/9/19
52;Déjate Querer;by Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds;111208;8/9/19
53;Indios y Vaqueros;by Sinsinati, Álvaro De Luna;109019;8/9/19
54;MOJAITA;by J Balvin, Bad Bunny;107201;8/9/19
55;La Playa;by Myke Towers;106790;8/9/19
56;Que Mas Pues - Remix;by Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez;101898;8/9/19
57;Delincuente;by Farruko, Anuel AA, Kendo Kaponi;95725;8/9/19
58;Atrévete;by Nicky Jam, Sech;93138;8/9/19
59;Date La Vuelta;by Luis Fonsi, Sebastian Yatra, Nicky Jam;92963;8/9/19
60;Presiento;by Morat, Aitana;90963;8/9/19
61;Si Se Da;by Myke Towers, Farruko;90739;8/9/19
62;De Tranquilote;by Danny Romero, Lérica;89273;8/9/19
63;Bellacoso;by Residente, Bad Bunny;86524;8/9/19
64;Hookah;by Bad Gyal;85911;8/9/19
65;Cambio;by Ozuna, Anuel AA;85613;8/9/19
66;bad guy;by Billie Eilish;84921;8/9/19
67;Tú No Amas;by Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel;84825;8/9/19
68;Si Supieras;by Daddy Yankee, Wisin & Yandel;84586;8/9/19
69;Autoestima (Feat. Lola Indigo, Alizzz) - Remix;by Cupido;79769;8/9/19
70;Kemba Walker;by Eladio Carrion, Bad Bunny;74521;8/9/19
71;Amanece;by Anuel AA, Haze;73477;8/9/19
72;Baila Baila Baila - Remix;by Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA;72679;8/9/19
73;5 Sentidos;by Dvicio, Taburete;72611;8/9/19
74;Boomerang;by Sech;71108;8/9/19
75;La Respuesta;by Becky G, Maluma;71036;8/9/19
76;Baila Baila Baila;by Ozuna;70990;8/9/19
77;La Boca - Remix;by Mau y Ricky, Camilo, Lunay;70856;8/9/19
78;Soldadito de Hierro;by Nil Moliner;69679;8/9/19
79;Cúrame (feat. Manuel Turizo);by Prince Royce;68161;8/9/19
80;El Efecto;by Rauw Alejandro, Chencho Corleone;67884;8/9/19
81;Aleluya;by Reik, Manuel Turizo;67269;8/9/19
82;Adan y Eva;by Paulo Londra;67097;8/9/19
83;Qué Bonito Es Querer;by Manuel Carrasco;63696;8/9/19
84;Un Año;by Sebastian Yatra, Reik;62600;8/9/19
85;Secreto;by Anuel AA, KAROL G;62557;8/9/19
86;Maldición;by Lola Indigo, Lalo Ebratt;62526;8/9/19
87;Ocean;by KAROL G;62239;8/9/19
88;Celébrate;by Miki Núñez;61592;8/9/19
89;A Escondidas;by $kyhook, Morad;61079;8/9/19
90;Nada Sale Mal;by Aitana;60940;8/9/19
91;Mi Persona Favorita;by Alejandro Sanz, Camila Cabello;60776;8/9/19
92;Punto G;by KAROL G;60571;8/9/19
93;Ella Quiere Beber - Remix;by Anuel AA, Romeo Santos;59673;8/9/19
94;Old Town Road - Remix;by Lil Nas X, Billy Ray Cyrus;59583;8/9/19
95;Me llama;by Beret;59470;8/9/19
96;Aute Cuture;by ROSALÍA;58716;8/9/19
97;Instagram;by Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike;58192;8/9/19
98;Sayonara;by Ana Guerra, Mike Bahía;58163;8/9/19
99;Una Vida Para Recordar;by Piso 21, Myke Towers;57869;8/9/19
100;Amor Genuino;by Ozuna;57514;8/9/19
101;nana triste;by Natalia Lacunza, Guitarricadelafuente;55736;8/9/19
102;Sucker;by Jonas Brothers;55656;8/9/19
103;Aullando;by Wisin & Yandel, Romeo Santos;55280;8/9/19
104;Muito Calor;by Ozuna, Anitta;54034;8/9/19
105;Shallow;by Lady Gaga, Bradley Cooper;53914;8/9/19
106;Latina (feat. Maluma);by Reykon;53911;8/9/19
107;En Cero;by Yandel, Sebastian Yatra, Manuel Turizo;53437;8/9/19
108;Sobrenatural;by Juan Magán, Alvaro Soler, Marielle Hazlo;53086;8/9/19
109;Someone You Loved;by Lewis Capaldi;51964;8/9/19
110;MALAMENTE - Cap.1: Augurio;by ROSALÍA;51104;8/9/19
111;Con La Miel En Los Labios;by Aitana;50754;8/9/19
112;Serpiente Veneno (feat. Ele A El Dominio);by Kidd Keo;50522;8/9/19
113;boyfriend (with Social House);by Ariana Grande;49641;8/9/19
114;Beautiful People (feat. Khalid);by Ed Sheeran;48722;8/9/19
115;Cuando Nadie Ve;by Morat;48443;8/9/19
116;Sin Pijama;by Becky G, Natti Natasha;48231;8/9/19
117;Mujer Bruja;by Lola Indigo, Mala Rodríguez;48065;8/9/19
118;Vaina Loca;by Ozuna, Manuel Turizo;48009;8/9/19
119;Por Eso Vine;by Paulo Londra;47873;8/9/19
120;Vas A Quedarte;by Aitana;47814;8/9/19
121;Mona Lisa;by Nacho, Nicky Jam;47387;8/9/19
122;Imposible;by Luis Fonsi, Ozuna;47203;8/9/19
123;Te echo de menos;by Beret;47079;8/9/19
124;Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky);by Dvicio, Jesús Reik;46745;8/9/19
125;Pa ti pa mí na má;by Demarco Flamenco;46399;8/9/19
126;Trueno: Bzrp Freestyle Sessions, Vol. 6;by Bizarrap, Trueno;46287;8/9/19
127;Déjala Que Baile (with Alejandro Sanz & Arkano);by Melendi;46037;8/9/19
128;Tutu;by Camilo, Pedro Capó;45822;8/9/19
129;Soldadito marinero;by Fito y Fitipaldis;45706;8/9/19
130;Fuego;by Estopa;45639;8/9/19
131;No Te Preocupes por Mi;by Leiva;45278;8/9/19
132;Te Olvidaré;by MYA, Pedro Capó;44956;8/9/19
133;Otra Vez;by Justin Quiles;44190;8/9/19
134;Perdón;by David Bisbal, Greeicy;43929;8/9/19
135;Ransom;by Lil Tecca;43765;8/9/19
